PID[11600]: Generation = 1, Fitness = 64.44465814349786, In Compliance = 441 out of 602, elapsed time so far this era (sec) = 1.329273300000004
PID[16236]: Generation = 7, Fitness = 67.13359268199335, In Compliance = 453 out of 602, elapsed time so far this era (sec) = 5.401455999999989
PID[10464]: Generation = 7, Fitness = 66.32405029134608, In Compliance = 449 out of 602, elapsed time so far this era (sec) = 5.435054700000016
PID[2792]: Generation = 7, Fitness = 66.0866012903657, In Compliance = 452 out of 602, elapsed time so far this era (sec) = 5.4536872999999915
PID[2900]: Generation = 7, Fitness = 65.75985459111281, In Compliance = 449 out of 602, elapsed time so far this era (sec) = 5.460400199999995
PID[16784]: Generation = 7, Fitness = 66.23335238240625, In Compliance = 449 out of 602, elapsed time so far this era (sec) = 5.4754370000000065
PID[11600]: Generation = 7, Fitness = 64.62671495758745, In Compliance = 441 out of 602, elapsed time so far this era (sec) = 5.490088399999998
PID[19376]: Generation = 7, Fitness = 65.56175099997644, In Compliance = 445 out of 602, elapsed time so far this era (sec) = 5.498997199999998
PID[19032]: Generation = 7, Fitness = 66.04327251657692, In Compliance = 448 out of 602, elapsed time so far this era (sec) = 5.502875700000004
PID[16236]: Generation = 8, Fitness = 67.13359268199335, In Compliance = 453 out of 602, elapsed time so far this era (sec) = 6.088331999999987
PID[10464]: Generation = 8, Fitness = 66.32405029134608, In Compliance = 449 out of 602, elapsed time so far this era (sec) = 6.1486505000000165
PID[2900]: Generation = 8, Fitness = 65.75985459111281, In Compliance = 449 out of 602, elapsed time so far this era (sec) = 6.157736599999993
PID[2792]: Generation = 8, Fitness = 66.0866012903657, In Compliance = 452 out of 602, elapsed time so far this era (sec) = 6.168883599999994
PID[16784]: Generation = 8, Fitness = 66.23335238240625, In Compliance = 449 out of 602, elapsed time so far this era (sec) = 6.202872200000002
PID[19376]: Generation = 8, Fitness = 65.56175099997644, In Compliance = 445 out of 602, elapsed time so far this era (sec) = 6.2077369000000004
PID[19032]: Generation = 8, Fitness = 66.04327251657692, In Compliance = 448 out of 602, elapsed time so far this era (sec) = 6.2221361
PID[11600]: Generation = 8, Fitness = 64.62671495758745, In Compliance = 441 out of 602, elapsed time so far this era (sec) = 6.215674499999999
